discipline,n_projects,fractional_funding,median_project_funding,mean_project_funding,funding_share_%,fractional_funding_million,full_count_million
Engineering & Manufacturing,1186,383798951.6166667,242206.5,646956.8456998314,37.31829853770081,383.79895161666667,767.290819
Materials & Chemistry,739,256520826.26666668,259946.0,688774.1962110961,24.942540190465287,256.5208262666667,509.004131
Computer & Quantitative Sciences,349,108605022.35000001,213979.0,736455.5558739254,10.560098274575296,108.60502235000001,257.022989
"Social Sciences, Business & Economics",312,76790067.6,169227.0,564323.7756410256,7.466603687571362,76.7900676,176.069018
Environmental & Earth Sciences,243,76503318.15,238101.0,729480.5679012346,7.438721898067911,76.50331815000001,177.263778
"Life, Agricultural & Health Sciences",296,62567863.166666664,206372.0,511279.49324324325,6.083722184972966,62.56786316666666,151.33873
Energy,283,58143806.016666666,286164.0,473682.1166077739,5.653553512609192,58.143806016666666,134.052039
"Arts, Humanities & Behavioural Sciences",68,5517224.833333333,50000.0,197185.10294117648,0.5364617140371805,5.517224833333333,13.408587
