lead_organisation_clean,n_projects,total_funding,mean_funding,median_funding,funding_share_%,total_funding_million,cumulative_share_%,rank
AGROCEUTICAL PRODUCTS LTD,1,269016.0,269016.0,269016.0,0.026157495629235486,0.269016,95.54482443569192,342
INTELIVITA LIMITED,1,268358.0,268358.0,268358.0,0.026093515672191904,0.268358,95.57091795136411,343
STFC - LABORATORIES,1,266858.0,266858.0,266858.0,0.025947664706287076,0.266858,95.5968656160704,344
S2S ELECTRONICS LTD,1,265110.0,265110.0,265110.0,0.025777699714019314,0.26511,95.62264331578442,345
DUPONT TEIJIN FILMS U.K. LIMITED,1,265008.0,265008.0,265008.0,0.025767781848337785,0.265008,95.64841109763276,346
CARBOGENICS LTD,2,262888.0,131444.0,131444.0,0.02556164581652563,0.262888,95.67397274344928,347
RELONDON: LONDON WASTE AND RECYCLING BOARD,1,262463.0,262463.0,262463.0,0.02552032137618593,0.262463,95.69949306482548,348
ANSYS UK LIMITED,1,262451.0,262451.0,262451.0,0.025519154568458692,0.262451,95.72501221939393,349
VICTREX MANUFACTURING LIMITED,1,260908.0,260908.0,260908.0,0.025369122541531255,0.260908,95.75038134193547,350
CYANETICS LTD.,1,259946.0,259946.0,259946.0,0.02527558345539763,0.259946,95.77565692539086,351
University of Southampton,1,258740.0,258740.0,258740.0,0.025158319278810144,0.25874,95.80081524466968,352
SMARTIA LTD,1,258732.0,258732.0,258732.0,0.025157541406991987,0.258732,95.82597278607668,353
ENTOCYCLE LTD,1,252892.0,252892.0,252892.0,0.024589694979735854,0.252892,95.85056248105641,354
The Open University,1,252520.0,252520.0,252520.0,0.02455352394019146,0.25252,95.8751160049966,355
LGC LTD,1,252440.0,252440.0,252440.0,0.02454574522200987,0.25244,95.89966175021861,356
National Nuclear Laboratory,1,252099.0,252099.0,252099.0,0.024512588435760835,0.252099,95.92417433865437,357
TREEGREEN LIMITED,3,251264.0,83754.66666666667,86685.0,0.024431398064740484,0.251264,95.9486057367191,358
GAS RECOVERY & RECYCLE LIMITED,1,250727.0,250727.0,250727.0,0.024379183418946553,0.250727,95.97298492013805,359
DYNAMIC BOOSTING SYSTEMS LIMITED,1,250000.0,250000.0,250000.0,0.024308494317471348,0.25,95.99729341445551,360
AILARIAN LTD,1,249967.0,249967.0,249967.0,0.024305285596221443,0.249967,96.02159870005174,361
ZF AUTOMOTIVE UK LIMITED,1,248797.0,248797.0,248797.0,0.024191521842815675,0.248797,96.04579022189455,362
THE BIORENEWABLES DEVELOPMENT CENTRE LIMITED,1,246746.0,246746.0,246746.0,0.02399209495543514,0.246746,96.06978231684998,363
LINEAT COMPOSITES LIMITED,1,245112.0,245112.0,245112.0,0.023833214636576148,0.245112,96.09361553148656,364
