discipline,model1_beta,model1_SE,model1_p,model1_pct_difference,model2_beta,model2_SE,model2_p,model2_pct_difference
Engineering & Manufacturing,-0.30916845441810953,0.09746598916418851,0.0015135911742070413,-26.59428955518397,0.20260360021816792,0.08830602980645912,0.021771273176933194,22.45869460251666
Materials & Chemistry,-0.011249387208798256,0.08410373956209359,0.8935954516062713,-1.1186349452647404,0.16742835865692934,0.07107639207344119,0.018492251930453518,18.226058841447035
Environmental & Earth Sciences,0.02245700705925624,0.11385744846959352,0.8436413524206089,2.271106386307986,0.03265265717505761,0.11232338233598374,0.771279069684087,3.319160521747233
"Life, Agricultural & Health Sciences",-0.33873038406427386,0.09557170633736803,0.0003937260234404195,-28.732542839012588,-0.10401008079135354,0.08856682672037156,0.24024750491030045,-9.878378759718887
"Social Sciences, Business & Economics",-0.2917331519950666,0.11750909703407571,0.013041166618863126,-25.303216374241234,-0.019467419753984805,0.0983258059239498,0.8430537356320666,-1.9279153205371435
Energy,-0.032692758894258905,0.09176088730135049,0.7216293354055439,-3.216412712297978,0.09990763190572038,0.0815528732135696,0.22055044792332512,10.506884025853092
Computer & Quantitative Sciences,0.08451257685378705,0.09560147371509403,0.3766912772505605,8.818653010882338,0.061580831731092384,0.07988195726699707,0.44076746217274987,6.35164589309285
"Arts, Humanities & Behavioural Sciences",-0.9996707096592725,0.15044659895490894,3.038600527452573e-11,-63.19993997348629,-0.5910867207133859,0.15810237539680155,0.00018502377379623377,-44.62747870066409
