sample,n_projects,observed_cosine,random_cosine,cosine_difference,cosine_p,observed_alignment,random_alignment,alignment_difference,alignment_p
Full RQ2 sample,442,0.5832553220758615,0.37748965557896047,0.20576566649690103,9.999000099990002e-05,0.6266811181486687,0.41552742577072793,0.21115369237794074,9.999000099990002e-05
Started by 2022,333,0.5867076144216188,0.3788193599854541,0.2078882544361647,9.999000099990002e-05,0.6094209877786844,0.4052379974813165,0.20418299029736786,9.999000099990002e-05
Closed projects,365,0.5799709128606009,0.3735757232125587,0.20639518964804215,9.999000099990002e-05,0.6128090486314411,0.40489394633825143,0.2079151022931897,9.999000099990002e-05
Closed and started by 2022,323,0.5839775663530884,0.37739302638485817,0.20658453996823023,9.999000099990002e-05,0.6066701839540021,0.40395049337536965,0.20271969057863243,9.999000099990002e-05
