,Engineering & Manufacturing,Materials & Chemistry,Environmental & Earth Sciences,"Life, Agricultural & Health Sciences","Social Sciences, Business & Economics",Energy,Computer & Quantitative Sciences,"Arts, Humanities & Behavioural Sciences"
Engineering & Manufacturing,45.5476852140931,15.713854400880978,15.64263404096226,9.781584349426572,4.6943919894815656,2.992835223904464,3.676593334275275,1.9504214469757961
Materials & Chemistry,42.99617379570222,33.545267261970196,9.009998199208598,7.249580275684781,1.9260907076704574,2.5877256213235618,1.8757278639303956,0.8094362745098042
Environmental & Earth Sciences,23.455055768886346,9.280427843707276,45.32546624803997,6.9851769016011644,8.206260175999605,3.3435440929298186,2.6335096490536904,0.7705593197821177
"Life, Agricultural & Health Sciences",17.944588531049106,12.304655609003628,28.397347293212462,36.729399851039766,0.7969649456083046,3.36017227046965,0.4668714996170917,0.0
"Social Sciences, Business & Economics",17.71871867759753,4.612437933938949,34.15655689873329,10.276815576643669,22.887017102943297,1.0068624476790415,9.139516397580914,0.20207496488331406
Energy,54.488110348912876,12.985762091444645,15.95645857491233,3.6208387499368686,2.1726936388590525,9.189164114224909,1.5869724817093238,0.0
Computer & Quantitative Sciences,37.01046600224551,12.288847042200372,16.605980751755403,9.058080937482965,14.130950088528852,1.3162716579982765,8.962687169415904,0.6267163503727193
"Arts, Humanities & Behavioural Sciences",5.6722689075630255,1.8907563025210083,15.966386554621845,19.012605042016805,23.004201680672267,0.0,11.516424751718867,22.937356760886175
